loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_F-0.5,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6669,1.0000000000000002e-06,1.0,10,,,,,,,,,,,,
,,1.0,10,0.6529603600502014,0.0,0.0,0.0,27.8132,3.524,0.467,,,,,
0.662,2.0000000000000003e-06,2.0,20,,,,,,,,,,,,
,,2.0,20,0.6384251117706299,0.0,0.0,0.0,24.6648,3.973,0.527,,,,,
0.6557,3e-06,3.0,30,,,,,,,,,,,,
,,3.0,30,0.6181333661079407,0.0,0.0,0.0,24.5345,3.994,0.53,,,,,
0.6334,4.000000000000001e-06,4.0,40,,,,,,,,,,,,
,,4.0,40,0.6023379564285278,0.0,0.0,0.0,26.0427,3.763,0.499,,,,,
0.6189,5e-06,5.0,50,,,,,,,,,,,,
,,5.0,50,0.5915353894233704,0.0,0.0,0.0,25.0226,3.916,0.52,,,,,
0.6126,6e-06,6.0,60,,,,,,,,,,,,
,,6.0,60,0.5784910917282104,0.0,0.0,0.0,27.0768,3.619,0.48,,,,,
0.5807,7.000000000000001e-06,7.0,70,,,,,,,,,,,,
,,7.0,70,0.5683901906013489,0.0,0.0,0.0,25.6396,3.822,0.507,,,,,
0.5944,8.000000000000001e-06,8.0,80,,,,,,,,,,,,
,,8.0,80,0.5603654980659485,0.0,0.0,0.0,24.4414,4.01,0.532,,,,,
0.5553,9e-06,9.0,90,,,,,,,,,,,,
,,9.0,90,0.5512067675590515,0.5,0.07692307692307693,0.2380952380952381,24.3713,4.021,0.533,,,,,
0.5028,1e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.5134226083755493,0.4,0.15384615384615385,0.30303030303030304,24.5981,3.984,0.528,,,,,
0.389,1.1000000000000001e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.44804152846336365,0.5,0.3076923076923077,0.4444444444444445,24.851,3.944,0.523,,,,,
0.2529,1.2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.44228455424308777,0.5,0.23076923076923078,0.40540540540540543,25.2113,3.887,0.516,,,,,
0.1456,1.3000000000000001e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.38294562697410583,0.7272727272727273,0.6153846153846154,0.7017543859649122,24.5361,3.994,0.53,,,,,
0.0725,1.4000000000000001e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,0.3316625952720642,0.7272727272727273,0.6153846153846154,0.7017543859649122,24.9173,3.933,0.522,,,,,
0.0414,1.5e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.5151979923248291,0.7,0.5384615384615384,0.6603773584905661,26.8614,3.648,0.484,,,,,
,,15.0,150,,,,,,,,4924.5878,0.889,0.03,453802582517760.0,0.4656094169616699
