epoch,learning_rate,loss,step,eval_accuracy,eval_f1,eval_loss,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,4.75e-05,0.0004,8,,,,,,,,,,,,,
1.0,,,8,0.7763157894736842,0.7233560090702947,2.2607860565185547,0.8595959595959597,0.669681309216193,19.3158,3.935,0.518,,,,,
2.0,4.5e-05,0.0235,16,,,,,,,,,,,,,
2.0,,,16,0.8157894736842105,0.7604433077578858,2.052973985671997,0.8693310657596371,0.7113120872810795,19.0898,3.981,0.524,,,,,
3.0,4.25e-05,0.0001,24,,,,,,,,,,,,,
3.0,,,24,0.8421052631578947,0.7846292540004507,1.8437904119491577,0.8822324628776242,0.74519092736147,19.3917,3.919,0.516,,,,,
4.0,4e-05,0.0032,32,,,,,,,,,,,,,
4.0,,,32,0.7763157894736842,0.7290203695403158,2.182107925415039,0.8609486679662117,0.6742750502440424,19.2291,3.952,0.52,,,,,
5.0,3.7500000000000003e-05,0.0063,40,,,,,,,,,,,,,
5.0,,,40,0.7894736842105263,0.7390350877192983,1.9226166009902954,0.8595848595848596,0.6866207292563882,21.7275,3.498,0.46,,,,,
6.0,3.5e-05,0.0001,48,,,,,,,,,,,,,
6.0,,,48,0.8289473684210527,0.8157102988224082,1.7975448369979858,0.8729166666666667,0.7852426069480333,19.9713,3.805,0.501,,,,,
7.0,3.2500000000000004e-05,0.0381,56,,,,,,,,,,,,,
7.0,,,56,0.8552631578947368,0.8304347826086955,1.4494590759277344,0.9020999704229519,0.7869652598334769,20.1776,3.767,0.496,,,,,
8.0,3e-05,0.0229,64,,,,,,,,,,,,,
8.0,,,64,0.8552631578947368,0.8112804798198057,1.4327638149261475,0.8365217391304348,0.7915590008613265,20.3523,3.734,0.491,,,,,
9.0,2.7500000000000004e-05,0.0001,72,,,,,,,,,,,,,
9.0,,,72,0.8289473684210527,0.817027592255279,1.535962462425232,0.8756449948400413,0.7898363479758829,20.0233,3.796,0.499,,,,,
11.0,2.25e-05,0.0001,88,,,,,,,,,,,,,
11.0,,,88,0.8421052631578947,0.8231884057971014,1.5641831159591675,0.8952972493345164,0.7792133218489807,23.9507,3.173,0.418,,,,,
12.0,2e-05,0.0001,96,,,,,,,,,,,,,
12.0,,,96,0.8421052631578947,0.8231884057971014,1.6839098930358887,0.8952972493345164,0.7792133218489807,21.0926,3.603,0.474,,,,,
13.0,1.75e-05,0.0001,104,,,,,,,,,,,,,
13.0,,,104,0.8421052631578947,0.8231884057971014,1.7257168292999268,0.8952972493345164,0.7792133218489807,20.195,3.763,0.495,,,,,
14.0,1.5e-05,0.0001,112,,,,,,,,,,,,,
14.0,,,112,0.8289473684210527,0.8119084192816911,1.7480354309082031,0.8878787878787878,0.766867642836635,19.8443,3.83,0.504,,,,,
15.0,1.25e-05,0.0001,120,,,,,,,,,,,,,
15.0,,,120,0.8289473684210527,0.8119084192816911,1.7601145505905151,0.8878787878787878,0.766867642836635,19.977,3.804,0.501,,,,,
16.0,1e-05,0.0001,128,,,,,,,,,,,,,
16.0,,,128,0.8289473684210527,0.8119084192816911,1.7670238018035889,0.8878787878787878,0.766867642836635,20.3505,3.735,0.491,,,,,
17.0,7.5e-06,0.0001,136,,,,,,,,,,,,,
17.0,,,136,0.8289473684210527,0.8119084192816911,1.771428108215332,0.8878787878787878,0.766867642836635,20.2184,3.759,0.495,,,,,
18.0,5e-06,0.0001,144,,,,,,,,,,,,,
18.0,,,144,0.8289473684210527,0.8119084192816911,1.7742592096328735,0.8878787878787878,0.766867642836635,19.6851,3.861,0.508,,,,,
19.0,2.5e-06,0.0,152,,,,,,,,,,,,,
19.0,,,152,0.8289473684210527,0.8119084192816911,1.7759170532226562,0.8878787878787878,0.766867642836635,21.7973,3.487,0.459,,,,,
20.0,0.0,0.0001,160,,,,,,,,,,,,,
20.0,,,160,0.8289473684210527,0.8119084192816911,1.776603102684021,0.8878787878787878,0.766867642836635,19.5436,3.889,0.512,,,,,
20.0,,,160,,,,,,,,,2877.6907,1.564,0.056,466222262400000.0,2.9874328174628317e-05
