loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6281,1.0000000000000002e-06,1.0,10,,,,,,,,,,,,
,,1.0,10,0.946110188961029,0.46276595744680854,0.4306930693069307,0.5,26.3357,3.835,0.494,,,,,
0.7271,2.0000000000000003e-06,2.0,20,,,,,,,,,,,,
,,2.0,20,0.9258610010147095,0.46276595744680854,0.4306930693069307,0.5,25.9072,3.899,0.502,,,,,
0.726,3e-06,3.0,30,,,,,,,,,,,,
,,3.0,30,0.8736733794212341,0.46276595744680854,0.4306930693069307,0.5,25.7667,3.92,0.505,,,,,
0.6619,4.000000000000001e-06,4.0,40,,,,,,,,,,,,
,,4.0,40,0.7743021845817566,0.46276595744680854,0.4306930693069307,0.5,26.4751,3.815,0.491,,,,,
0.6083,5e-06,5.0,50,,,,,,,,,,,,
,,5.0,50,0.6677401065826416,0.46276595744680854,0.4306930693069307,0.5,25.8716,3.904,0.502,,,,,
0.5651,6e-06,6.0,60,,,,,,,,,,,,
,,6.0,60,0.6138529181480408,0.46276595744680854,0.4306930693069307,0.5,26.0355,3.879,0.499,,,,,
0.5299,7.000000000000001e-06,7.0,70,,,,,,,,,,,,
,,7.0,70,0.6034976243972778,0.46276595744680854,0.4306930693069307,0.5,25.7531,3.922,0.505,,,,,
0.5343,8.000000000000001e-06,8.0,80,,,,,,,,,,,,
,,8.0,80,0.6488311290740967,0.46276595744680854,0.4306930693069307,0.5,25.6422,3.939,0.507,,,,,
0.4504,9e-06,9.0,90,,,,,,,,,,,,
,,9.0,90,0.5506881475448608,0.6429292929292929,0.696236559139785,0.6198686371100164,25.6464,3.938,0.507,,,,,
0.3487,1e-05,10.0,100,,,,,,,,,,,,
,,10.0,100,0.5105166435241699,0.7283485745024207,0.706354300385109,0.7639573070607554,25.8138,3.913,0.504,,,,,
0.2735,1.1000000000000001e-05,11.0,110,,,,,,,,,,,,
,,11.0,110,0.5338967442512512,0.7489265536723164,0.7792929292929294,0.7270114942528736,25.9456,3.893,0.501,,,,,
0.1779,1.2e-05,12.0,120,,,,,,,,,,,,
,,12.0,120,0.5304102897644043,0.7651162790697674,0.7518382352941176,0.7811986863711002,25.9035,3.899,0.502,,,,,
0.1118,1.3000000000000001e-05,13.0,130,,,,,,,,,,,,
,,13.0,130,0.5581204295158386,0.7926929392446633,0.7926929392446633,0.7926929392446633,25.7371,3.924,0.505,,,,,
0.1462,1.4000000000000001e-05,14.0,140,,,,,,,,,,,,
,,14.0,140,1.0299369096755981,0.5730676328502415,0.6881443298969072,0.5599343185550082,25.896,3.9,0.502,,,,,
0.0656,1.5e-05,15.0,150,,,,,,,,,,,,
,,15.0,150,0.5801937580108643,0.7489265536723164,0.7792929292929294,0.7270114942528736,25.8387,3.909,0.503,,,,,
,,15.0,150,,,,,,,,5001.3734,0.9,0.03,466219604736000.0,0.4369836179415385
